,date,Daily PnL($),Cumulative PnL($),equity,Daily PnL(%),Cumulative PnL(%)
104,2012-04-15,0.0,-156.96732026143752,9843.032679738562,0.0,-1.5696732026143745
105,2012-04-16,-23.7124183006536,-180.67973856209113,9819.32026143791,-0.24090561387105636,-1.8067973856209063
106,2012-04-17,-23.7124183006536,-204.39215686274474,9795.607843137255,-0.24148737050340152,-2.0439215686274492
107,2012-04-18,-23.7124183006536,-228.10457516339835,9771.8954248366,-0.24207194367491525,-2.281045751633992
108,2012-04-19,-23.7124183006536,-251.81699346405196,9748.183006535948,-0.24265935388936288,-2.518169934640524
109,2012-04-20,-23.7124183006536,-275.52941176470557,9724.470588235294,-0.24324962185010568,-2.755294117647078
110,2012-04-21,0.0,-275.52941176470557,9724.470588235294,0.0,-2.755294117647078
111,2012-04-22,0.0,-275.52941176470557,9724.470588235294,0.0,-2.755294117647078
112,2012-04-23,-48.82352941176468,-324.35294117647027,9675.64705882353,-0.5020687652737665,-3.2435294117647118
113,2012-04-24,-48.82352941176468,-373.17647058823496,9626.823529411766,-0.5046022153861074,-3.7317647058823566
114,2012-04-25,-48.82352941176468,-421.99999999999966,9578.0,-0.507161362858688,-4.220000000000013
115,2012-04-26,-48.82352941176468,-470.82352941176435,9529.176470588236,-0.5097466006657281,-4.708235294117646
116,2012-04-27,-48.82352941176468,-519.647058823529,9480.35294117647,-0.5123583298353163,-5.196470588235302
117,2012-04-28,0.0,-519.647058823529,9480.35294117647,0.0,-5.196470588235302
118,2012-04-29,0.0,-519.647058823529,9480.35294117647,0.0,-5.196470588235302
119,2012-04-30,-48.82352941176468,-568.4705882352937,9431.529411764706,-0.5149969596564996,-5.684705882352947
120,2012-05-01,-22.5204991087344,-590.9910873440281,9409.008912655972,-0.23877886740873988,-5.909910873440283
121,2012-05-02,-22.5204991087344,-613.5115864527625,9386.488413547238,-0.23935038554848687,-6.135115864527618
122,2012-05-03,-22.5204991087344,-636.0320855614968,9363.967914438503,-0.2399246461140092,-6.360320855614976
123,2012-05-04,-22.5204991087344,-658.5525846702312,9341.447415329769,-0.24050166889197921,-6.5855258467023114
124,2012-05-05,0.0,-658.5525846702312,9341.447415329769,0.0,-6.5855258467023114
125,2012-05-06,0.0,-658.5525846702312,9341.447415329769,0.0,-6.5855258467023114
