Open_Date,Expiration_date,Underlying_at_Open,Underlying_at_Expiraion,Call_Strikes,Put_Strikes,Total Premium Collected,Total Payout,Total PnL
2017-09-01,2017-10-13,247.84,254.95,251.0,241.0,2.36,3.95,-1.59
2017-10-02,2017-11-17,252.32001,257.85999,257.0,247.0,2.21,0.86,1.35
2017-11-01,2017-12-15,257.48999,266.51001,262.0,250.0,2.47,4.51,-2.04
2017-12-01,2018-01-12,264.45999,277.92001,269.0,257.0,2.4,8.92,-6.52
2018-01-02,2018-02-16,268.76999,273.10999,274.0,263.0,2.23,0.0,2.23
2018-02-01,2018-03-16,281.57999,274.20001,289.0,272.0,3.35,0.0,3.35
2018-03-01,2018-04-13,267.70001,265.14999,276.0,255.0,4.65,0.0,4.65
2018-04-02,2018-05-18,257.47,271.32999,269.0,245.0,5.54,2.33,3.21
2018-05-01,2018-06-15,264.98001,277.13,273.0,255.0,3.88,4.13,-0.25
2018-06-01,2018-07-13,273.60001,279.59,278.5,265.0,2.96,1.09,1.87
2018-07-02,2018-08-17,271.85999,285.06,279.0,263.0,3.81,6.06,-2.25
2018-08-01,2018-09-21,280.85999,291.98999,288.0,272.0,3.29,3.99,-0.7
2018-09-04,2018-10-19,289.81,276.25,295.0,281.0,3.4,4.75,-1.35
2018-10-01,2018-11-16,291.73001,273.73001,299.0,284.0,3.16,10.27,-7.11
2018-11-01,2018-12-14,273.51001,260.47,284.0,262.0,4.8,1.53,3.27
2018-12-03,2019-01-18,279.29999,266.45999,288.0,268.0,4.38,1.54,2.84
2019-01-02,2019-02-15,250.17999,277.37,262.0,238.0,5.6,15.37,-9.77
2019-02-01,2019-03-15,270.06,281.31,279.0,260.0,3.81,2.31,1.5
2019-03-01,2019-04-12,280.42001,290.16,286.0,271.0,3.24,4.16,-0.92
2019-04-01,2019-05-17,285.82999,285.84,294.0,277.0,3.66,0.0,3.66
2019-05-01,2019-06-21,291.81,294.0,300.0,281.0,4.26,0.0,4.26
2019-06-03,2019-07-19,274.57001,297.17001,284.0,262.0,5.03,13.17,-8.14
2019-07-01,2019-08-16,295.66,288.85001,304.0,286.0,3.87,0.0,3.87
2019-08-01,2019-09-13,294.84,301.09,305.0,282.5,4.28,0.0,4.28
2019-09-03,2019-10-18,290.73999,297.97,300.0,276.0,5.46,0.0,5.46
2019-10-01,2019-11-15,293.23999,311.79001,303.0,281.0,5.4,8.79,-3.39
2019-11-01,2019-12-13,306.14001,317.32001,313.0,297.0,3.73,4.32,-0.59
2019-12-02,2020-01-17,311.64001,331.95001,319.0,299.0,4.59,12.95,-8.36
2020-01-02,2020-02-14,324.87,337.60001,332.5,315.0,3.71,5.1,-1.39
2020-02-03,2020-03-20,324.12,228.8,335.0,309.0,5.27,80.2,-74.93
2020-03-02,2020-04-17,309.09,286.64001,323.0,286.0,8.9,0.0,8.9
2020-04-01,2020-05-15,246.14999,286.28,272.0,218.0,13.23,14.28,-1.05
2020-05-01,2020-06-12,282.79001,304.20999,300.0,260.0,9.85,4.21,5.64
2020-06-01,2020-07-17,305.54999,321.72,320.0,285.0,8.1,1.72,6.38
2020-07-01,2020-08-21,310.51999,339.48001,327.0,290.0,9.03,12.48,-3.45
2020-08-03,2020-09-18,328.79001,330.64999,343.0,309.0,7.53,0.0,7.53
2020-09-01,2020-10-16,352.60001,347.29001,367.0,331.0,7.98,0.0,7.98
2020-10-01,2020-11-13,337.04001,358.10001,355.0,315.0,9.68,3.1,6.58
2020-11-02,2020-12-18,330.20001,369.17999,351.0,303.0,11.07,18.18,-7.11
2020-12-01,2021-01-15,366.01999,375.70001,380.0,346.0,7.44,0.0,7.44
2021-01-04,2021-02-19,368.79001,390.03,385.0,348.0,8.84,5.03,3.81
2021-02-01,2021-03-19,376.23001,389.48001,394.0,351.0,10.14,0.0,10.14
2021-03-01,2021-04-16,389.57999,417.26001,403.0,368.0,8.31,14.26,-5.95
2021-04-01,2021-05-14,400.60999,416.57999,412.5,385.0,6.17,4.08,2.09
2021-05-03,2021-06-18,418.20001,414.92001,431.0,399.0,7.33,0.0,7.33
2021-06-01,2021-07-16,419.67001,431.34,430.0,401.0,6.72,1.34,5.38
2021-07-01,2021-08-13,430.42999,445.92001,440.0,416.0,5.78,5.92,-0.14
2021-08-02,2021-09-17,437.59,441.39999,450.0,417.0,7.77,0.0,7.77
2021-09-01,2021-10-15,451.79999,445.87,461.0,434.0,6.56,0.0,6.56
2021-10-01,2021-11-12,434.23999,467.26999,449.0,413.0,8.07,18.27,-10.2
2021-11-01,2021-12-17,460.04001,459.87,473.0,440.0,7.14,0.0,7.14
2021-12-01,2022-01-21,450.5,437.98001,471.0,419.0,12.46,0.0,12.46
2022-01-03,2022-02-18,477.70999,434.23001,491.0,459.0,7.43,24.77,-17.34
2022-02-01,2022-03-18,452.95001,444.51999,471.0,429.0,9.32,0.0,9.32
2022-03-01,2022-04-14,429.98001,437.79001,453.0,399.0,12.8,0.0,12.8
2022-04-01,2022-05-13,452.92001,401.72,468.0,433.0,8.18,31.28,-23.1
2022-05-02,2022-06-17,414.48001,365.85999,439.0,386.0,11.95,20.14,-8.19
2022-06-01,2022-07-15,409.59,385.13,430.0,385.0,9.93,0.0,9.93
2022-07-01,2022-08-12,381.23999,427.10001,402.0,360.0,9.76,25.1,-15.34
2022-08-01,2022-09-16,410.76999,385.56,431.0,389.0,9.23,3.44,5.79
2022-09-01,2022-10-14,396.42001,357.63,415.0,375.0,9.67,17.37,-7.7
2022-10-03,2022-11-18,366.60999,396.03,391.0,344.0,10.63,5.03,5.6
2022-11-01,2022-12-16,384.51999,383.26999,409.0,362.0,10.1,0.0,10.1
2022-12-01,2023-01-13,407.38,398.5,425.0,388.0,8.26,0.0,8.26
2023-01-03,2023-02-17,380.82001,407.26001,402.0,363.0,8.87,5.26,3.61
